id,text,aspectCategory,polarity
3477,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive
1280,Always busy but fast moving.,ambience,conflict
1891,"The food was really good, I had the onion soup and it was one of the best ever.",food,positive
3451,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",anecdotes/miscellaneous,positive
3451,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",price,positive
1551,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",service,positive
1551,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",ambience,negative
2140,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,service,positive
224,"The food was terrific and the service classy, attentive, without being overbearing.",food,positive
224,"The food was terrific and the service classy, attentive, without being overbearing.",service,positive
2486,"The noise level was unbearable, conversation impossible.",ambience,negative
2615,Thanks Bloom's for a lovely trip.,anecdotes/miscellaneous,positive
55,"David, Daytona Beach, FL",anecdotes/miscellaneous,neutral
168,Perhaps.,anecdotes/miscellaneous,neutral
344,Don't be fooled by crowds of people.,anecdotes/miscellaneous,negative
2299,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",anecdotes/miscellaneous,neutral
1672,The food is awesome - definitely try the striped bass.,food,positive
2840,"Terrible, terrible management - deserves to be shut-down.",service,negative
2397,I have been to spice three times- twice during lunch and once at dinner.,anecdotes/miscellaneous,neutral
491,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,food,positive
229,Great people watching as others do the same to you.,ambience,positive
3542,Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,anecdotes/miscellaneous,negative
2179,My friends and I have been going here regularly for two years.,anecdotes/miscellaneous,neutral
3039,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,food,negative
2806,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",anecdotes/miscellaneous,positive
3049,The food was lousy - too sweet or too salty and the portions tiny.,food,negative
461,Friendly staff that actually lets you enjoy your meal and the company you're with.,service,positive
3208,Don't leave without trying One Night in Tokyo.,anecdotes/miscellaneous,positive
3582,"But, they were too big for the bun.",food,negative
2152,The bagels are fabulous.,food,positive
191,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",service,negative
119,Check out the secret back room.,ambience,positive
2517,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",food,positive
2517,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,positive
3641,You cannot go wrong with this place.,anecdotes/miscellaneous,positive
667,Prices are in line.,price,neutral
1490,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,food,positive
1548,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative
874,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",food,positive
874,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",price,positive
972,"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",service,positive
217,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,anecdotes/miscellaneous,positive
3280,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,price,positive
3563,We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,anecdotes/miscellaneous,neutral
3144,I had to share my table with a loud group of kids and the service was rude an unattentive.,service,negative
3144,I had to share my table with a loud group of kids and the service was rude an unattentive.,ambience,negative
2202,What more could you want?,anecdotes/miscellaneous,positive
1868,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",food,positive
1955,"Even though it is a little loud, you don't have to yell at each other to talk.",ambience,conflict
3368,"If only they delivered, they'd make a mint!",anecdotes/miscellaneous,positive
1690,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,anecdotes/miscellaneous,negative
257,The scallion pancakes and fried dumplings were nothing out of the ordinary.,food,neutral
1656,The spicy tuna and salmon are the best we've ever had.,food,positive
284,Been going here since it opened have seen the quality value decrease considerably.,anecdotes/miscellaneous,negative
2186,It is by far my favorite restaurant in Brooklyn.,anecdotes/miscellaneous,positive
3411,Even my Indian friend couldn't believe how good and tasty everything was.,food,positive
3221,"I'm from England, and Haru's was the best I had in NYC.",anecdotes/miscellaneous,positive
3372,I've been many time and have never been disappointed.,anecdotes/miscellaneous,positive
2386,The dim sum servings here are a bit larger than I'm used to.,food,neutral
680,It's a much more grown up restaurant compared to the rest of the street.,ambience,neutral
92,I absolutely Loved this place.,anecdotes/miscellaneous,positive
370,kalbi and nebbiolo do work together.,food,neutral
81,Keep up the good work guys!,anecdotes/miscellaneous,positive
1866,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",price,positive
280,The food is delicious and beautifully prepared along with the friendly and personable service.,food,positive
280,The food is delicious and beautifully prepared along with the friendly and personable service.,service,positive
610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive
610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,ambience,positive
1855,My husband and I enjoy Sangria.,food,positive
916,The food was average or above including some surprising tasty dishes.,food,positive
2194,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,food,negative
340,The rice was poor quality and was cooked so badly it was hard.,food,negative
2757,No thanks!!!,anecdotes/miscellaneous,negative
301,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",service,conflict
1560,And its absolutely DELICIOUS.,food,positive
2466,I have walked by this place for eons and finally went thanks to a girls' night.,anecdotes/miscellaneous,neutral
3263,"Each bite of food at Kai was indeed delicious, fresh, and elegant.",food,positive
2019,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",food,conflict
3261,Try the spicy wontons and the salt pepper shrimps.,food,positive
2425,"I need at least three rolls to be full, and that's at least $14.00!",price,negative
1378,I recieved prompt service with a smile.,service,positive
2473,They are amazing!,anecdotes/miscellaneous,positive
1118,"If you go to Roth's try to be served by Mike, he is GREAT!!",service,positive
662,I always get the Shabu-Shabu dinner and the beef is always fresh.,food,positive
1987,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",food,negative
1987,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",service,conflict
1987,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",ambience,conflict
1287,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,anecdotes/miscellaneous,positive
285,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",food,negative
285,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
674,"It can be a very fun experience with a group, and kids (6 and over) would love it.",ambience,positive
487,The pickles were great addition.,food,positive
1981,"Filled with suits, though, so you never really feel terribly comfortable.",ambience,negative
1991,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",food,positive
1991,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",anecdotes/miscellaneous,positive
129,They are located in the middle of Chinatown!,anecdotes/miscellaneous,neutral
475,Katz's deli is a great NY experience.,anecdotes/miscellaneous,positive
1869,I would like to return and try some of the other menu items when I don't have to rush off to a show.,food,positive
82,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",food,positive
82,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",ambience,positive
3237,"After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.",anecdotes/miscellaneous,neutral
469,"My husband and I ate here after reading reviews here as well as hobokeni.com,",anecdotes/miscellaneous,neutral
1089,"The sandwiches are dry, tasteless and way overpriced.",food,negative
1089,"The sandwiches are dry, tasteless and way overpriced.",price,negative
3639,We also had shared a house salad that was fresh.,food,positive
131,Big Wong gets big Ups for a fine establishment.,ambience,positive
1568,My six year old loved it.,anecdotes/miscellaneous,positive
3084,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,positive
3274,"Most people eat there seem to be typical Upper East Side snobs, so be aware.",ambience,negative
3665,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",ambience,positive
780,"Overall, worht every penny.",price,positive
3223,My mouth starts to water merely thinking about the delight that is this restaurant.,food,positive
612,great place to go for a drink too because they have 100 kinds of beer.,food,positive
1660,Stuffing yourself with Japanese food is a rare thing.,food,neutral
1575,Our family never expected such incredible entertainment in a restaurant.,ambience,positive
377,We were a group of 8 and well seved.,service,positive
377,We were a group of 8 and well seved.,anecdotes/miscellaneous,neutral
3342,I wish they would change back to what it was before.,anecdotes/miscellaneous,negative
3459,"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.",anecdotes/miscellaneous,positive
845,The dining room is quietly elegant with no music to shout over -- how refreshing!,ambience,positive
2293,(Besides that there should be more restaurants like it around the city).,anecdotes/miscellaneous,positive
205,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",service,conflict
367,This was on a Tuesday night.,anecdotes/miscellaneous,neutral
2850,"The food was amazing, the service was so attentive and personable, and how about that ambience!",food,positive
2850,"The food was amazing, the service was so attentive and personable, and how about that ambience!",service,positive
2850,"The food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,positive
163,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",service,negative
472,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",service,negative
472,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",food,negative
849,I went with my fiance on a Tuesday evening.,anecdotes/miscellaneous,neutral
3649,Bartender was unable to tear himself away from friends at bar.,service,negative
2818,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,food,positive
2818,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,service,positive
1304,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",food,neutral
1304,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",service,neutral
1304,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",price,negative
889,Stay far away from this place.,anecdotes/miscellaneous,negative
1099,Once for dinner and once for brunch.,anecdotes/miscellaneous,neutral
2863,Please save yourself the frustration.,anecdotes/miscellaneous,negative
62,(Always ask the bartender for the SEASONAL beer!!!,food,positive
2412,"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",ambience,positive
2412,"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",price,positive
837,Why do people rave about the ambience.,ambience,negative
2094,Tasty but expensive.,food,positive
2094,Tasty but expensive.,price,negative
2361,"To celebrate a birthday, three of us went to Mare anticipating great food.",anecdotes/miscellaneous,neutral
306,The banana tower is an amazing dessert as well.,food,positive
200,Just an odd group.,anecdotes/miscellaneous,neutral
1355,"Drinks got screwed up, she acted put upon.",service,negative
2443,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",food,positive
2443,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",service,positive
2443,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",ambience,positive
2587,After the review I treked into Brooklyn.,anecdotes/miscellaneous,neutral
2797,it's the only place you can get yummy authentic japanese comfort food.,food,positive
158,We were fast to order the appetizer platter since we were very hungry.,anecdotes/miscellaneous,neutral
256,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,food,negative
2698,We were also seated promptly at the time of our reservation and the service was very quick and professional.,service,positive
553,"When we sat, we got great and fast service.",service,positive
1522,Go girls!!!,anecdotes/miscellaneous,positive
2148,They all know you.,service,positive
3380,"While the prices are nothing special, the portions are huge.",price,positive
3380,"While the prices are nothing special, the portions are huge.",food,positive
2651,"We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!",anecdotes/miscellaneous,negative
1058,Never fails to please.,anecdotes/miscellaneous,positive
2895,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,anecdotes/miscellaneous,positive
2895,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,price,positive
2895,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,food,positive
1432,I consider the best Grand Sichuan restaurant in NYC.,anecdotes/miscellaneous,positive
2388,That's good and bad.,anecdotes/miscellaneous,conflict
609,Really cool stauff inside.,ambience,positive
661,There is usually a wait but it is well worth it.,anecdotes/miscellaneous,conflict
552,As always we had a great glass of wine while we waited.,food,positive
3023,I've been here twice now.,anecdotes/miscellaneous,neutral
1559,Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.,food,conflict
1852,My biggest complaint was the un-tasty food although presented well.,food,conflict
3053,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",ambience,neutral
335,"The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.",service,positive
2416,"Ok, for all of us growing up in the Village of NYC, we have spoiled by a plethora of restaurants, most of which stay open very late.",anecdotes/miscellaneous,neutral
3571,The food was mediocre at best but it was the horrible service that made me vow never to go back.,food,neutral
3571,The food was mediocre at best but it was the horrible service that made me vow never to go back.,service,negative
8,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,negative
781,I love this place more and more everytime i go.,anecdotes/miscellaneous,positive
549,We went to Ino for Valentines.,anecdotes/miscellaneous,neutral
3645,Good for dates or with friends.,anecdotes/miscellaneous,positive
2364,"Cute place, nice wait staff but would never go there again.",service,positive
2364,"Cute place, nice wait staff but would never go there again.",ambience,positive
379,Acceptable prices.,price,positive
3035,"As I made the title, it's an affordable restaurant for great taste.",food,positive
3035,"As I made the title, it's an affordable restaurant for great taste.",price,positive
1730,Salads are a delicious way to begin the meal.,food,positive
2973,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,positive
2973,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,positive
1096,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,ambience,positive
2859,As soon as my father lifted his pen from the check a chef appeared to usher us out.,service,negative
2958,"It is sometimes a little cramped, and can get a little warm, but hello, it's NYC!",ambience,conflict
2832,"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,positive
2832,"The food is wonderful, tasty and filling, and the service is professional and friendly.",service,positive
2886,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,food,positive
2886,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,anecdotes/miscellaneous,positive
1545,...and that's saying a lot.,anecdotes/miscellaneous,neutral
2076,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",food,positive
2076,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",price,conflict
1666,Food was good not great not worth the wait or another visit,food,conflict
1666,Food was good not great not worth the wait or another visit,service,negative
2669,"I actually gave Patroon another chance before writing this, but the second visit was even worse.",anecdotes/miscellaneous,negative
733,"In such a crappy part of town to find a good value for lunch, this place is great.",anecdotes/miscellaneous,positive
2737,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,positive
2737,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,positive
2737,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",ambience,positive
467,A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.,anecdotes/miscellaneous,positive
467,A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.,ambience,positive
1206,The place is small and cramped but the food is fantastic.,food,positive
1206,The place is small and cramped but the food is fantastic.,ambience,negative
642,Enjoy!!!,anecdotes/miscellaneous,positive
429,"For authentic Thai food, look no further than Toons.",food,positive
1226,you can actually get 2 salads worth if u take it home and add it to some lettuce!,food,negative
1182,"The food is very good for it's price, better than most fried dumplings I've had.",food,positive
1182,"The food is very good for it's price, better than most fried dumplings I've had.",price,positive
415,I've waited over one hour for food.,service,negative
1510,Great deal!,anecdotes/miscellaneous,positive
2419,This is the pinnacle of Indian Fast Food (all fast foods in my opinion).,food,positive
97,The wine list is also really nice.,food,positive
501,It will be on my to do list the next visit to NYC.,anecdotes/miscellaneous,positive
1157,Right off the major deegan you get ladies from all over the city.,ambience,positive
1468,This is a fun restaurant to go to.,anecdotes/miscellaneous,positive
1268,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",food,negative
956,The food was exceptional.,food,positive
689,"Saul is pretty good, but definitely not great.",food,positive
1596,"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",anecdotes/miscellaneous,positive
1232,big and soft as well as good lunch food.,food,positive
2529,"As for the bar, this is another bad idea.",food,negative
635,"We liked it so much, that we will always make it a point to dine here when we visit New York.",anecdotes/miscellaneous,positive
957,"The menu consisted of standard brassiere food, better then places like Balthazar etc.",food,positive
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",service,negative
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",ambience,positive
2567,Great value for the quality ingredients.,food,positive
2567,Great value for the quality ingredients.,price,positive
305,The sushi is also great!,food,positive
840,Food was OK - fish was cooked well.,food,positive
1788,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",food,conflict
1651,The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,anecdotes/miscellaneous,negative
1651,The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,price,negative
2909,skip dessert.,food,negative
2992,I liked this place the first time but doubt I will ever return.,anecdotes/miscellaneous,negative
3438,The service is good and ambience is good for a date or group outing.,service,positive
3438,The service is good and ambience is good for a date or group outing.,ambience,positive
860,"Bravo, Blue Hill!",anecdotes/miscellaneous,positive
3439,The only fallback on this restaurant is the prices.,price,negative
1394,The atmosphere is much better than Sripraphai (more modern and sleek).,ambience,positive
2159,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",food,positive
1970,The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,food,positive
3510,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,anecdotes/miscellaneous,negative
3510,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,service,negative
1320,"Nothing against a good sales call, but the tactics at Amma are just too obvious.",service,negative
1974,"However, for what we spent, overall, it just was not up to par.",price,negative
941,The service was excellent - friendly and attentive.,service,positive
2461,IT IS WHAT MODERN CUISINE IS ALL ABOUT.,anecdotes/miscellaneous,positive
87,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",anecdotes/miscellaneous,neutral
2153,"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking).",service,positive
1517,"For some reason the place was empty when we got in and remained so for the entire evening, I don't understand why but we had a blast and will definately go back the next time we are in the area.",anecdotes/miscellaneous,positive
2156,The bagels are also reasonably priced for NYC.,price,positive
414,"Average to good Thai food, but terrible delivery.",food,positive
414,"Average to good Thai food, but terrible delivery.",service,negative
2844,"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!",anecdotes/miscellaneous,positive
2844,"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!",price,negative
2957,"The waiters are sweet, the food is tasty and the bill is never too large.",food,positive
2957,"The waiters are sweet, the food is tasty and the bill is never too large.",service,positive
2957,"The waiters are sweet, the food is tasty and the bill is never too large.",price,positive
3633,"The service was superb, they treat you like family.",service,positive
331,"When I visited my friend who lives in the Upper Eastside, she recommended that we go to this restaurant.",anecdotes/miscellaneous,neutral
2007,The flavors robust and subtle.,food,positive
3679,I loved this place!!,anecdotes/miscellaneous,positive
