case_key,task,bucket,id,text,aspect,gold_aspects,gold_polarity,reference_prediction,configuration_predictions,error_persistence,configuration_count,fold,supporting_text,assessment,rationale,proposed_label,needs_user_adjudication,previous_assessment,review_revision,review_status
aspect:101,aspect,aspect_single_misc,101,i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).,,"[""ambience""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""ambience"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""ambience"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""ambience"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""anecdotes/miscellaneous""]}",5,5,1,pics of Andy Warhol ... sign in the window,clear model error,The visual decor and displayed sign directly describe ambience.,,False,clear model error,2,provisional assistant judgment
aspect:202,aspect,aspect_single_misc,202,"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.",,"[""ambience""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""ambience"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""ambience"", ""anecdotes/miscellaneous""]}",5,5,5,sitting next to you ... 2 inches away,clear model error,Seating density is direct ambience evidence.,,False,clear model error,2,provisional assistant judgment
aspect:240,aspect,aspect_single_misc,240,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,,"[""ambience""]",,"[""food"", ""anecdotes/miscellaneous""]","{""reference"": [""food"", ""anecdotes/miscellaneous""], ""sampling-control"": [""food"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""ambience"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""food"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""food""]}",5,5,2,Authentic Shanghai style ... better Shanghai place,suspected annotation error,The sentence gives a broad restaurant recommendation and no clear ambience feature.,anecdotes/miscellaneous,True,suspected annotation error,2,provisional assistant judgment
aspect:324,aspect,aspect_single_misc,324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",,"[""service""]",,"[""food"", ""anecdotes/miscellaneous""]","{""reference"": [""food"", ""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""food""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""service"", ""anecdotes/miscellaneous""]}",5,5,2,had to ask more detailed questions ... specials,clear model error,Failure to explain specials is a direct service issue.,,False,clear model error,2,provisional assistant judgment
aspect:337,aspect,aspect_single_misc,337,The worst excuse for Japanese food I've ever encountered.,,"[""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,5,worst excuse for Japanese food,ambiguous annotation,The target can be the food itself or the restaurant's authenticity as a whole.,,True,ambiguous annotation,2,provisional assistant judgment
aspect:348,aspect,aspect_single_misc,348,Great sushi experience.,,"[""food""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""anecdotes/miscellaneous""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""anecdotes/miscellaneous""]}",5,5,5,Great sushi,clear model error,Sushi is an explicit food target.,,False,clear model error,2,provisional assistant judgment
aspect:410,aspect,aspect_single_misc,410,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,,"[""food"", ""price""]",,"[""price"", ""anecdotes/miscellaneous""]","{""reference"": [""price"", ""anecdotes/miscellaneous""], ""sampling-control"": [""price""], ""targeted-2x"": [""food"", ""price"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""food"", ""price"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""price"", ""anecdotes/miscellaneous""]}",5,5,5,half-price ... inedible squid,clear model error,The model misses explicit food evidence and adds an unsupported miscellaneous label.,,False,clear model error,2,provisional assistant judgment
aspect:433,aspect,aspect_single_misc,433,VT is what baby pizzas hope to be when they grow up.,,"[""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,4,pizzas,ambiguous annotation,"The metaphor evaluates pizza but frames a broad comparison, exposing a fuzzy food versus miscellaneous boundary.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:439,aspect,aspect_single_misc,439,Some baby pizzas get their wish.,,"[""food""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""food"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""anecdotes/miscellaneous""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""anecdotes/miscellaneous""]}",5,5,5,baby pizzas get their wish,ambiguous annotation,This fragment depends on prior context and uses a metaphor rather than a direct food evaluation.,,True,ambiguous annotation,2,provisional assistant judgment
aspect:656,aspect,aspect_single_misc,656,Thius is a must for anyone who loves Shabu-Shabu.,,"[""food""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""food"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""food"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""food"", ""anecdotes/miscellaneous""]}",5,5,2,must for anyone who loves Shabu-Shabu,ambiguous annotation,"Shabu-Shabu supports food, while 'a must' is also a broad recommendation.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:685,aspect,aspect_single_misc,685,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,"[""food"", ""ambience""]",,"[""food"", ""ambience"", ""anecdotes/miscellaneous""]","{""reference"": [""food"", ""ambience"", ""anecdotes/miscellaneous""], ""sampling-control"": [""food"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""food"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""food"", ""ambience"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""food"", ""anecdotes/miscellaneous""]}",5,5,4,great neighborhood and ... great food,ambiguous annotation,"Food and neighbourhood are explicit, but the opening remark about another reviewer may qualify as an anecdote. The extra miscellaneous label is not clearly unjustified.",,True,clear model error,2,provisional assistant judgment
aspect:688,aspect,aspect_single_misc,688,I think this would be a pretty good spot if it were not so overpriced and overrated.,,"[""price""]",,"[""price"", ""anecdotes/miscellaneous""]","{""reference"": [""price"", ""anecdotes/miscellaneous""], ""sampling-control"": [""price"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""price"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""price"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""price"", ""anecdotes/miscellaneous""]}",5,5,2,pretty good spot ... overpriced and overrated,ambiguous annotation,"Price is explicit, but 'good spot' and 'overrated' can also express an overall judgment.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:706,aspect,aspect_single_misc,706,"Just remember, the later you go, the longer you may have to wait.",,"[""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,3,longer you may have to wait,ambiguous annotation,"Waiting suggests service, but this advice may be coded as anecdotal context. The previous proposed relabeling was too certain.",,True,suspected annotation error,2,provisional assistant judgment
aspect:61,aspect,aspect_other,61,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",,"[""ambience"", ""anecdotes/miscellaneous""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""anecdotes/miscellaneous""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""anecdotes/miscellaneous""]}",5,5,5,perfect spot for meeting friends ... drinks,ambiguous annotation,A recommendation for social occasions can be an overall endorsement without evaluating the physical ambience separately.,,True,clear model error,2,provisional assistant judgment
aspect:136,aspect,aspect_other,136,The takeout is great too since they give high quality tupperware as well.,,"[""service""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food"", ""service""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,5,takeout ... high quality tupperware,ambiguous annotation,"Takeout handling suggests service, while packaging quality can be treated as part of the food offering.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:181,aspect,aspect_other,181,"The food here is rather good, but only if you like to wait for it.",,"[""food"", ""service""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,2,like to wait for it,clear model error,The waiting complaint explicitly supplies service evidence alongside food.,,False,clear model error,2,provisional assistant judgment
aspect:211,aspect,aspect_other,211,Service and food is what any one would expect when spending that type of money.,,"[""food"", ""service""]",,"[""food"", ""price"", ""service""]","{""reference"": [""food"", ""price"", ""service""], ""sampling-control"": [""food"", ""price"", ""service""], ""targeted-2x"": [""food"", ""price"", ""service""], ""targeted-3x"": [""food"", ""price"", ""service""], ""targeted-4x"": [""food"", ""price"", ""service""]}",5,5,5,spending that type of money,ambiguous annotation,"Spending is a comparison standard for service and food quality, not necessarily an evaluation of price itself. The added price label is not clearly required.",,True,suspected annotation error,2,provisional assistant judgment
aspect:238,aspect,aspect_other,238,The food is so cheap and the waiters are nice.,,"[""price"", ""service""]",,"[""food"", ""price"", ""service""]","{""reference"": [""food"", ""price"", ""service""], ""sampling-control"": [""food"", ""price"", ""service""], ""targeted-2x"": [""food"", ""price"", ""service""], ""targeted-3x"": [""food"", ""price"", ""service""], ""targeted-4x"": [""food"", ""price"", ""service""]}",5,5,1,food is so cheap,clear model error,"Cheap evaluates price and nice evaluates the waiters. Food is the object being priced, with no separate food-quality evaluation; the reference adds food based on mention alone.",,False,suspected annotation error,2,provisional assistant judgment
aspect:267,aspect,aspect_other,267,The bar is very well stocked with interesting beers and well priced wines.,,"[""food""]",,"[""food"", ""price""]","{""reference"": [""food"", ""price""], ""sampling-control"": [""food"", ""price""], ""targeted-2x"": [""food"", ""price""], ""targeted-3x"": [""food"", ""price""], ""targeted-4x"": [""food"", ""price"", ""ambience""]}",5,5,3,well priced wines,suspected annotation error,Price is explicit and should plausibly accompany the food label.,food and price,True,suspected annotation error,2,provisional assistant judgment
aspect:296,aspect,aspect_other,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",,"[""food""]",,"[""food"", ""service""]","{""reference"": [""food"", ""service""], ""sampling-control"": [""food"", ""service""], ""targeted-2x"": [""food"", ""service""], ""targeted-3x"": [""food"", ""service""], ""targeted-4x"": [""food"", ""service""]}",5,5,5,"forgot our toast, left out ingredients",ambiguous annotation,These failures can be attributed to food quality or service execution.,,True,ambiguous annotation,2,provisional assistant judgment
aspect:327,aspect,aspect_other,327,"Great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.",,"[""anecdotes/miscellaneous""]",,"[""food"", ""anecdotes/miscellaneous""]","{""reference"": [""food"", ""anecdotes/miscellaneous""], ""sampling-control"": [""food"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""food"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,1,what it should have tasted like,ambiguous annotation,"Taste language may support food, but the rhetorical comparison and restaurant-level criticism make the category boundary uncertain.",,True,suspected annotation error,2,provisional assistant judgment
aspect:365,aspect,aspect_other,365,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",,"[""service""]",,"[""food"", ""price"", ""service""]","{""reference"": [""food"", ""price"", ""service""], ""sampling-control"": [""food"", ""price"", ""service""], ""targeted-2x"": [""food"", ""price""], ""targeted-3x"": [""food"", ""price"", ""service""], ""targeted-4x"": [""food"", ""price"", ""service""]}",5,5,2,pasta ... another $20 on wine,clear model error,"The complaints concern staff attention and delivery. Pasta and hypothetical extra spending supply context, not independent food or price evaluations; the extra predictions overextend those mentions.",,False,suspected annotation error,2,provisional assistant judgment
aspect:417,aspect,aspect_other,417,A Thai restaurant out of rice during dinner?,,"[""anecdotes/miscellaneous""]",,"[""food"", ""anecdotes/miscellaneous""]","{""reference"": [""food"", ""anecdotes/miscellaneous""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,1,Thai restaurant out of rice,ambiguous annotation,"Running out of rice can concern food availability, service, or overall restaurant adequacy. No single additional category is certain without guidance.",,True,suspected annotation error,2,provisional assistant judgment
aspect:563,aspect,aspect_other,563,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,,"[""service"", ""ambience""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,1,back-to-back ... squeezed past us,clear model error,Crowded table placement directly supports the omitted ambience label.,,False,clear model error,2,provisional assistant judgment
aspect:565,aspect,aspect_other,565,"I asked for seltzer with lime, no ice.",,"[""food""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""food"", ""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""food"", ""service""]}",5,5,2,asked for seltzer with lime,insufficient evidence,"The isolated beverage request does not identify a service failure. Inferring one requires surrounding text, which is outside this case.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:566,aspect,aspect_other,566,"Got club soda, filled with ice, no lime.",,"[""service""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,3,Got club soda ... no lime,insufficient evidence,The sentence describes a received drink; calling it the wrong drink relies on a prior order that is absent from this case.,,True,ambiguous annotation,2,provisional assistant judgment
aspect:600,aspect,aspect_other,600,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",,"[""anecdotes/miscellaneous""]",,"[""service"", ""ambience"", ""anecdotes/miscellaneous""]","{""reference"": [""service"", ""ambience"", ""anecdotes/miscellaneous""], ""sampling-control"": [""service"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""service"", ""anecdotes/miscellaneous""]}",5,5,4,nearly impossible to get a table,ambiguous annotation,"Table availability may denote service or popularity, while the model also retains the correct overall recommendation.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:630,aspect,aspect_other,630,I highly recommend visiting this restaurant and having dinner and drinks!,,"[""food"", ""anecdotes/miscellaneous""]",,"[""anecdotes/miscellaneous""]","{""reference"": [""anecdotes/miscellaneous""], ""sampling-control"": [""anecdotes/miscellaneous""], ""targeted-2x"": [""anecdotes/miscellaneous""], ""targeted-3x"": [""anecdotes/miscellaneous""], ""targeted-4x"": [""anecdotes/miscellaneous""]}",5,5,3,having dinner and drinks,ambiguous annotation,Dinner and drinks are mentioned within a restaurant recommendation. Mention alone does not establish a separate evaluated food aspect.,,True,clear model error,2,provisional assistant judgment
polarity:37:service,polarity,polarity_conflict,37,The only friendly staff member was the guy at the bar.,service,,conflict,negative,"{""reference"": ""negative"", ""loss-control"": ""positive"", ""oversampling"": ""negative"", ""sampling-corrected"": ""negative""}",4,4,2,only friendly staff member,clear model error,"Only one friendly employee implies positive and negative service evidence, matching conflict.",,False,clear model error,2,provisional assistant judgment
polarity:133:service,polarity,polarity_conflict,133,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,service,,conflict,negative,"{""reference"": ""negative"", ""loss-control"": ""negative"", ""oversampling"": ""negative"", ""sampling-corrected"": ""negative""}",4,4,1,waiters ... doing things as fast as they can,ambiguous annotation,"Fast activity could signal efficient service or staff rushing under pressure. The noisy atmosphere is a different target, but the service reading still needs adjudication.",,True,suspected annotation error,2,provisional assistant judgment
